x,y,mcp_ogd
-0.1143342177,-1.2915603658,1.0000000000
0.1181920678,-1.0063309300,2.0000000000
-0.1702018932,-1.5216181409,3.0000000000
-0.0650195387,-1.0512454976,4.0000000000
-0.1146931136,-1.2241277630,5.0000000000
0.7789787582,-0.2553384778,6.0000000000
0.1630999356,-0.7955399273,7.0000000000
0.4170481659,-0.5106344123,8.0000000000
0.1323769837,-1.0932786595,9.0000000000
0.1288289145,-1.0707272843,10.0000000000
-0.0922730636,-1.3423065316,11.0000000000
-0.2482949529,-1.2024950049,12.0000000000
-0.0897284710,-1.3409031040,13.0000000000
0.0378498497,-1.5615519077,14.0000000000
1.5140140550,0.5250084003,21.0000000000
1.0707141841,0.1434468038,22.0000000000
1.1894572299,0.1109400362,23.0000000000
1.0697042247,-0.0523857146,24.0000000000
0.0474278522,-1.0496332729,25.0000000000
1.2583194812,0.3696661762,26.0000000000
0.3936077257,-0.7499532851,27.0000000000
1.3602267025,0.4072872133,28.0000000000
-0.1254813862,-1.4512295173,29.0000000000
0.4980985231,-0.8648469739,30.0000000000
0.7276567294,-0.5490062338,31.0000000000
1.1132127415,0.1275197993,32.0000000000
0.7311691229,-0.3601835613,33.0000000000
0.5758818361,-0.6865382407,34.0000000000
1.0319357749,-0.1969845576,35.0000000000
0.9381539086,-0.1067334712,37.0000000000
0.0676192290,-0.9103618934,38.0000000000
1.2849887204,0.1530931123,39.0000000000
0.9515169854,-0.0506688257,40.0000000000
1.2631933508,0.6409998289,41.0000000000
1.5277333389,0.6678361971,43.0000000000
0.3490516073,-0.8622923237,51.0000000000
0.0898173392,-1.2815246879,52.0000000000
0.4127530491,-0.8343619226,53.0000000000
-0.0723969751,-1.4487476918,54.0000000000
0.3506695663,-0.7085815893,55.0000000000
0.4589890330,-0.7380526301,56.0000000000
0.5636853590,-0.5482466358,57.0000000000
0.7011684221,-0.3741448782,58.0000000000
0.9255619146,-0.1511164090,59.0000000000
1.3030101184,0.3749478739,60.0000000000
0.6862103229,-0.5701202555,61.0000000000
0.2261627699,-1.1494576147,62.0000000000
0.8260328015,-0.2206391312,63.0000000000
0.5607711938,-0.8821321387,64.0000000000
1.1323857743,-0.2129050839,65.0000000000
0.2356482166,-1.0991960003,66.0000000000
0.8088483226,-0.1195215309,67.0000000000
0.4804981230,-0.5780358054,68.0000000000
0.0902848368,-1.4060854354,69.0000000000
0.5339269145,-0.3014325651,70.0000000000
0.9224432748,-0.0349822033,71.0000000000
0.6201814659,-0.7587048695,72.0000000000
1.1708780978,0.3138139206,81.0000000000
0.5149147508,-0.7727812333,82.0000000000
0.5662609421,-0.6036855349,83.0000000000
0.4913930568,-0.5753421214,84.0000000000
0.4408027914,-0.6703779965,85.0000000000
0.2425127916,-0.9477178267,86.0000000000
1.2833246427,-0.0065635985,87.0000000000
0.8613534970,-0.4265739710,88.0000000000
0.8337998618,-0.4837056862,89.0000000000
0.4378338077,-0.6358504857,90.0000000000
0.3121182510,-0.7338620769,91.0000000000
0.5080640624,-0.6014933701,92.0000000000
0.5559872945,-0.6595907116,93.0000000000
0.3421572080,-0.7671058249,94.0000000000
-0.2353264046,-1.3316821287,95.0000000000
0.3687544567,-0.8243664449,96.0000000000
0.5430443386,-0.6161751965,97.0000000000
0.4955672181,-0.2595122162,98.0000000000
0.6205860197,-0.8051369149,99.0000000000
1.1725172272,0.0470958955,100.0000000000
0.5089710498,-0.7359808089,101.0000000000
1.2702181274,0.2308145204,102.0000000000
1.0309721423,-0.3269255521,111.0000000000
0.5301405074,-0.9125691995,112.0000000000
0.6518823649,-0.7065833283,113.0000000000
1.3004791431,0.2262513321,114.0000000000
0.5629157913,-0.8415039385,115.0000000000
0.6422772218,-0.6320359149,116.0000000000
0.6817759410,-0.7016845532,117.0000000000
0.4964812637,-0.8595185489,118.0000000000
0.2730104614,-1.2670103090,119.0000000000
0.6379031438,-0.5612655027,120.0000000000
0.3793495951,-0.9026274089,121.0000000000
-0.1009816842,-1.3430310619,131.0000000000
-0.0529275909,-1.4286351465,135.0000000000
-0.0079128604,-1.3182423342,136.0000000000
-0.0668836846,-1.5218771405,137.0000000000
0.1012043391,-1.2536916009,138.0000000000
-0.0308881963,-1.5248146141,139.0000000000
-0.3160675512,-1.6936004829,141.0000000000
0.1050653395,-1.4969044362,151.0000000000
0.3578049279,-1.2982451629,152.0000000000
0.6013890458,-0.8141386162,153.0000000000
0.2086982687,-1.3412845853,154.0000000000
0.0510614915,-1.3746585176,155.0000000000
0.1878893428,-1.3978462938,156.0000000000
0.5149527565,-0.7887984256,157.0000000000
0.0847186876,-1.3985526351,158.0000000000
0.2109579692,-1.3111965548,159.0000000000
0.0350683507,-1.5291467128,160.0000000000
-0.1563521432,-1.6946952341,161.0000000000
0.1988382584,-1.1170254185,172.0000000000
0.5898687577,-0.4574838954,173.0000000000
0.3799920649,-1.0453147345,176.0000000000
0.2717181352,-1.0540979258,177.0000000000
0.6339814583,-0.7301752859,178.0000000000
0.5261663304,-0.8590248167,180.0000000000
1.0083325331,-0.1282074443,181.0000000000
0.8802620479,-0.0898109744,182.0000000000
0.0802420539,-1.2637695851,191.0000000000
0.1009990152,-1.0945924447,192.0000000000
-0.3259933759,-1.5865444715,193.0000000000
-0.5390174071,-1.7701210505,194.0000000000
0.0181330687,-1.3320844992,195.0000000000
-0.0026113457,-1.2478975736,196.0000000000
-0.1616104376,-1.4498804966,197.0000000000
-0.1296460926,-1.2136986440,198.0000000000
0.3118702312,-0.9197710773,199.0000000000
0.4378681157,-0.8687239736,200.0000000000
1.0969370113,0.2460655822,211.0000000000
0.3085524004,-1.1432004301,213.0000000000
0.6933837037,-0.3781024406,214.0000000000
0.0442550239,-1.1815792618,215.0000000000
0.7313712150,-0.7077373496,216.0000000000
1.1860506984,0.1823797574,218.0000000000
0.3881907164,-0.9592804514,219.0000000000
1.3305030285,0.2741463103,220.0000000000
0.3526485225,-1.0609928601,221.0000000000
0.4914705818,-0.7967524937,223.0000000000
0.3786499267,-0.9066556482,224.0000000000
0.6140480448,-0.7853715266,225.0000000000
0.8520811862,-0.0476125206,226.0000000000
0.4692369726,-1.0640082901,227.0000000000
0.8321746020,-0.3459004482,228.0000000000
0.5302825326,-0.6385060187,231.0000000000
0.2904164533,-1.0919565091,241.0000000000
0.1241053549,-1.1937596389,242.0000000000
0.1320955200,-1.0727020947,243.0000000000
0.3047390510,-0.9368479984,244.0000000000
-0.0308804170,-1.3013979661,245.0000000000
0.4378714146,-0.8129683630,246.0000000000
0.0805573829,-1.1410523540,247.0000000000
0.1603048766,-1.3894531404,248.0000000000
0.4495900266,-0.9105938687,249.0000000000
-0.0125652703,-1.3345685444,250.0000000000
0.2594386919,-1.0737670251,251.0000000000
0.8109649968,-0.2692758195,292.0000000000
0.1657750957,-1.0629482126,293.0000000000
0.5326765941,-0.6790343901,294.0000000000
0.0770588417,-1.1123942576,295.0000000000
0.1044753254,-1.1991321626,296.0000000000
1.1259843693,-0.0913418707,297.0000000000
0.5528238933,-0.7900248473,298.0000000000
0.1519677400,-0.9153355004,301.0000000000
0.4453469154,-0.5630616506,302.0000000000
0.2032859472,-0.8182459242,303.0000000000
0.7146483783,-0.2459389978,304.0000000000
0.7628518018,-0.3073486403,305.0000000000
-0.0548302818,-1.0242837424,306.0000000000
-0.2294642354,-1.4025952104,307.0000000000
0.3445762994,-0.5786666426,309.0000000000
