x,y,mcp_ogd
-34.8484039307,13.8591670990,1.0000000000
-32.1067771912,14.5352458954,2.0000000000
-34.6700515747,15.1576538086,3.0000000000
-34.3018569946,13.6605472565,4.0000000000
-34.0175399780,14.3333215714,5.0000000000
-18.1939029694,19.2672710419,6.0000000000
-33.7544898987,13.0715408325,7.0000000000
-20.5688076019,20.1711215973,8.0000000000
-33.7484626770,13.6974964142,9.0000000000
-32.5528640747,14.6567296982,10.0000000000
-34.3689765930,14.7353868484,11.0000000000
-34.8909149170,12.9821796417,12.0000000000
-32.9693374634,19.4473953247,13.0000000000
-33.8695793152,19.5633983612,14.0000000000
-13.6578979492,16.9778995514,21.0000000000
-16.1516036987,18.2831649780,22.0000000000
-15.2873353958,17.2840023041,23.0000000000
-15.6875553131,17.2129516602,24.0000000000
-31.3624820709,13.5807228088,25.0000000000
-14.2019653320,17.0419654846,26.0000000000
-21.0677490234,13.4802522659,27.0000000000
-14.0570154190,16.9764862061,28.0000000000
-35.2662773132,17.5163803101,29.0000000000
-27.9209156036,19.5603981018,30.0000000000
-25.6181926727,20.1271572113,31.0000000000
-14.7309427261,17.0283756256,32.0000000000
-17.7353572845,18.5198268890,33.0000000000
-25.7467079163,19.2084751129,34.0000000000
-17.1169834137,18.2198905945,35.0000000000
-16.8594055176,18.1767692566,37.0000000000
-31.6869201660,12.4079532623,38.0000000000
-14.8807697296,16.3960838318,39.0000000000
-16.8965282440,18.0451564789,40.0000000000
-13.7716169357,17.9361171722,41.0000000000
-13.0969476700,17.2439079285,43.0000000000
-26.9530563354,16.5767326355,51.0000000000
-31.9943332672,15.7346773148,52.0000000000
-26.3934497833,16.9595413208,53.0000000000
-33.0306320190,16.6097011566,54.0000000000
-26.4750709534,17.4762725830,55.0000000000
-24.5976963043,15.6729984283,56.0000000000
-23.0966167450,16.6432209015,57.0000000000
-22.8583850861,15.4808025360,58.0000000000
-18.0847778320,15.4403753281,59.0000000000
-17.0397472382,14.0997743607,60.0000000000
-24.0595378876,16.4629020691,61.0000000000
-29.6320075989,15.4981212616,62.0000000000
-15.6995649338,14.9671478271,63.0000000000
-28.1450977325,21.6024951935,64.0000000000
